위도,경도,cluster
0,37.56805038,126.9692307,D
1,37.56887817,126.97747040000002,C
2,37.56852722,126.98255159999998,C
3,37.56622314,126.9835892,C
4,37.56546402,126.9841385,C
5,37.56447601,126.98696899999999,B
6,37.56134033,126.9804001,C
7,37.56638336,126.98720549999999,B
8,37.56599045,126.987793,B
9,37.56261826,126.99283600000001,B
10,37.56918335,127.0098801,A
12,37.56322861,126.97483829999999,D
17,37.56386566,127.0027466,A
23,37.56138992,126.9953537,B
33,37.5621109,126.97071840000001,D
34,37.56015396,126.97410579999999,D
36,37.562213899999996,126.98086550000001,C
39,37.56035995,126.98265079999999,C
40,37.56787109,126.98898319999999,B
50,37.56761551,126.9872437,B
51,37.56284332,126.97261809999999,D
58,37.56599045,126.98427579999999,C
64,37.56689835,126.9877396,B
67,37.56430817,127.0064774,A
68,37.5664711,126.9792557,C
15,37.560474400000004,127.0140762,A
16,37.55599976,126.97335819999999,D
18,37.55853271,127.0069885,A
19,37.55519867,127.0100479,A
25,37.55410767,126.96540829999999,D
32,37.55641556,126.9691925,D
44,37.56443024,127.00995640000001,A
49,37.55536652,126.9686432,D
56,37.5670166,126.97683719999999,C
62,37.56157303,126.9684906,D
66,37.56252670000001,126.9983139,B
