대여소번호,대여수,반납수,거치대수,(반납-대여)/거치대수,위도,경도,group
0,300,17,19,9,0.2222222222222222,37.56805038,126.9692307,많음
1,310,5,13,8,1.0,37.56887817,126.9774704,많음
2,318,6,10,12,0.3333333333333333,37.56852722,126.9825516,많음
3,320,8,16,17,0.47058823529411764,37.56622314,126.9835892,많음
4,321,8,12,17,0.23529411764705882,37.56546402,126.9841385,많음
5,322,3,8,17,0.29411764705882354,37.56447601,126.986969,많음
6,324,5,9,12,0.3333333333333333,37.56134033,126.9804001,많음
7,331,3,10,10,0.7,37.56638336,126.9872055,많음
8,332,6,12,5,1.2,37.56599045,126.987793,많음
9,336,7,11,12,0.3333333333333333,37.56261826,126.992836,많음
10,346,7,20,12,1.0833333333333333,37.56918335,127.0098801,많음
11,347,4,6,20,0.1,37.56533051,127.007843,적정
12,370,16,41,24,1.0416666666666667,37.56322861,126.9748383,많음
13,371,5,5,12,0.0,37.55887222,127.0055389,적정
14,372,4,5,12,0.08333333333333333,37.55429459,127.0112,적정
15,374,11,10,12,-0.08333333333333333,37.5604744,127.0140762,적음
16,379,10,9,9,-0.1111111111111111,37.55599976,126.9733582,적음
17,380,10,13,10,0.3,37.56386566,127.0027466,많음
18,381,2,1,12,-0.08333333333333333,37.55853271,127.0069885,적음
19,382,13,6,9,-0.7777777777777778,37.55519867,127.0100479,적음
20,383,6,10,19,0.21052631578947367,37.5658493,127.0164032,적정
21,387,8,10,12,0.16666666666666666,37.56699371,127.0034638,적정
22,389,6,7,12,0.08333333333333333,37.5667305,126.9966049,적정
23,390,12,17,12,0.4166666666666667,37.56138992,126.9953537,많음
24,398,6,6,10,0.0,37.56655884,126.9924393,적정
25,399,7,1,17,-0.35294117647058826,37.55410767,126.9654083,적음
26,428,5,5,12,0.0,37.56439972,126.9914322,적정
27,430,3,3,10,0.0,37.56217194,127.0062637,적정
28,431,11,13,15,0.13333333333333333,37.57089996,127.0195236,적정
29,433,7,9,12,0.16666666666666666,37.56634521,126.9822922,적정
30,435,4,5,12,0.08333333333333333,37.55686188,126.9756165,적정
31,441,6,6,15,0.0,37.55989075,126.9714966,적정
32,442,2,1,20,-0.05,37.55641556,126.9691925,적음
33,443,4,8,9,0.4444444444444444,37.5621109,126.9707184,많음
34,445,5,13,10,0.8,37.56015396,126.9741058,많음
35,466,2,5,20,0.15,37.56584167,126.9798126,적정
36,467,2,6,16,0.25,37.5622139,126.9808655,많음
37,469,1,1,16,0.0,37.5592308,126.9801407,적정
38,470,2,3,20,0.05,37.55974579,126.9800034,적정
39,471,5,9,10,0.4,37.56035995,126.9826508,많음
40,472,3,11,12,0.6666666666666666,37.56787109,126.9889832,많음
41,473,14,14,20,0.0,37.56605148,126.9979858,적정
42,474,5,7,30,0.06666666666666667,37.56629944,127.0084915,적정
43,475,3,6,16,0.1875,37.56764984,127.0118103,적정
44,476,3,2,10,-0.1,37.56443024,127.0099564,적음
45,479,2,2,13,0.0,37.55937576,127.0060272,적정
46,480,5,5,8,0.0,37.55432129,127.010704,적정
47,481,6,6,16,0.0,37.56703186,127.0157929,적정
48,485,3,3,10,0.0,37.55677032,126.9731979,적정
49,826,16,5,22,-0.5,37.55536652,126.9686432,적음
50,3013,3,20,10,1.7,37.56761551,126.9872437,많음
51,4753,1,4,10,0.3,37.56284332,126.9726181,많음
52,4760,2,2,10,0.0,37.55664444,126.9736404,적정
53,4762,3,4,10,0.1,37.56693268,126.9825821,적정
54,4765,2,5,20,0.15,37.5683136,127.0094605,적정
55,4766,1,2,18,0.05555555555555555,37.56024551,126.9687805,적정
56,4768,26,19,12,-0.5833333333333334,37.5670166,126.9768372,적음
57,4774,1,2,9,0.1111111111111111,37.56590271,126.981781,적정
58,4775,2,8,10,0.6,37.56599045,126.9842758,많음
59,4776,1,2,10,0.1,37.56005478,126.9809418,적정
60,4778,4,6,10,0.2,37.56520844,126.9874268,적정
61,4781,5,5,10,0.0,37.56147003,126.9680176,적정
62,4782,2,1,10,-0.1,37.56157303,126.9684906,적음
63,4784,2,3,10,0.1,37.56459045,126.9907684,적정
64,4785,2,13,8,1.375,37.56689835,126.9877396,많음
65,4791,9,10,10,0.1,37.56109619,126.9874649,적정
66,4792,8,6,10,-0.2,37.5625267,126.9983139,적음
67,4793,3,10,10,0.7,37.56430817,127.0064774,많음
68,4796,6,11,10,0.5,37.5664711,126.9792557,많음
